,sqft,price,beds,baths,address,city,zip_code
97,"2,859 sq ft","$549,900",5 beds,3 baths,5667 S Stone Bluff Way, Salt Lake City, 84118
98,704 sq ft,"$850,000",3 beds,1 bath,11421 E Balsam Ln, Brighton, 84121
99,962 sq ft,"$399,999",3 beds,1 bath,5100 S Pieper Blvd, Salt Lake City, 84118
100,"1,975 sq ft","$730,000",4 beds,4 baths,2240 E Lambourne Ave, Millcreek, 84109
101,"1,212 sq ft","$649,000",3 beds,2 baths,2815 S Beverly St, Salt Lake City, 84106
102,"1,176 sq ft","$400,000",3 beds,2 baths,4840 S 4900 W, Kearns, 84118
103,904 sq ft,"$769,000",1 bed,1 bath,55 W South Temple #503, Salt Lake City, 84101
104,"1,400 sq ft","$439,900",4 beds,2.5 baths,1626 W Frankie Cir, Salt Lake City, 84104
105,"2,334 sq ft","$899,000",4 beds,4 baths,653 S Iverson St E, Salt Lake City, 84111
106,758 sq ft,"$336,000",1 bed,1 bath,143 E 1st Ave #305, Salt Lake City, 84103
107,605 sq ft,"$169,983",1 bed,1 bath,752 S 400 E Unit G 303, Salt Lake City, 84111
108,"2,656 sq ft","$1,199,000",3 beds,2.5 baths,2260 S Lakeline Dr E, Salt Lake City, 84109
109,"1,772 sq ft","$632,250",3 beds,2.5 baths,365 W 800 N #10, Salt Lake City, 84103
110,"1,772 sq ft","$634,250",3 beds,2.5 baths,365 W 800 N #9, Salt Lake City, 84103
111,"2,395 sq ft","$800,000",3 beds,2.5 baths,1211 S Liberty Wells Pl, Salt Lake City, 84111
112,792 sq ft,"$355,000",2 beds,2 baths,131 S 1000 E #10, Salt Lake City, 84102
113,"1,850 sq ft","$525,000",3 beds,2 baths,801 N 1400 W, Salt Lake City, 84116
114,"2,642 sq ft","$1,075,000",3 beds,2.5 baths,855 S 700 E, Salt Lake City, 84102
115,"2,573 sq ft","$995,000",6 beds,5 baths,147 S 1000 E, Salt Lake City, 84102
116,"1,682 sq ft","$525,000",3 beds,1 bath,2152 S Green St, Salt Lake City, 84106
117,"3,290 sq ft","$1,650,000",4 beds,3 baths,72 N Wolcott St, Salt Lake City, 84103
118,"1,101 sq ft","$549,900",1 bed,2 baths,241 N Vine St Unit 606 E, Salt Lake City, 84103
119,"1,976 sq ft","$455,900",5 beds,2 baths,4932 S 4015 W, Taylorsville, 84129
120,"1,581 sq ft","$545,000",3 beds,2.5 baths,15 E Kensington Ave Unit P, Salt Lake City, 84115
121,"2,568 sq ft","$1,325,000",3 beds,3.5 baths,860 E 3rd Ave N #2, Salt Lake City, 84103
122,"1,121 sq ft","$69,900",4 beds,2 baths,1594 W 400 S #49, Salt Lake City, 84104
123,"1,742 sq ft","$385,000",2 beds,1 bath,1564 W Indiana Ave, Salt Lake City, 84104
124,"2,302 sq ft","$895,000",3 beds,3 baths,1190 S 800 E, Salt Lake City, 84105
125,"3,674 sq ft","$1,599,000",5 beds,4 baths,4540 S Loren Von Dr E, Holladay, 84124
126,"1,084 sq ft","$350,000",3 beds,1 bath,856 W Simondi Ave, Salt Lake City, 84116
127,888 sq ft,"$380,000",2 beds,1 bath,332 S Post St, Salt Lake City, 84104
128,"1,549 sq ft","$505,400",2 beds,2.5 baths,4471 S 500 E #58, Millcreek, 84107
129,"1,219 sq ft","$460,000",2 beds,2 baths,24 W 1700 S Unit C4, Salt Lake City, 84115
130,694 sq ft,"$439,900",2 beds,1.5 baths,360 W 300 S #417, Salt Lake City, 84101
131,"1,745 sq ft","$430,000",3 beds,2 baths,1451 W 700 S, Salt Lake City, 84104
132,860 sq ft,"$405,000",2 beds,1 bath,1552 W 1300 S, Salt Lake City, 84104
133,"1,352 sq ft","$424,900",2 beds,2.5 baths,1140 E Parkway Ave Unit E3, Salt Lake City, 84106
134,"1,270 sq ft","$415,000",1 bed,1 bath,1140 E 2700 S Unit L92, Salt Lake City, 84106
135,869 sq ft,"$35,000",2 beds,1 bath,4997 S Camino Real Dr, Salt Lake City, 84117
136,"1,968 sq ft","$585,000",3 beds,2 baths,1042 Emerson Ave, Salt Lake City, 84105
137,"1,288 sq ft","$395,500",2 beds,2 baths,3674 S 860 St E #46, Salt Lake City, 84106
138,"1,908 sq ft","$819,900",3 beds,2 baths,358 I St, Salt Lake City, 84103
139,"1,288 sq ft","$324,900",2 beds,2 baths,3664 S 860 E #50, Salt Lake City, 84106
140,"4,036 sq ft","$1,550,000",4 beds,4.5 baths,357 N Pioneer Ridge Rd, Salt Lake City, 84108
141,"1,602 sq ft","$369,900",4 beds,3 baths,5137 S Pieper Blvd W, Salt Lake City, 84118
142,"1,075 sq ft","$399,900",1 bed,2 baths,241 N Vine St St Unit 901E, Salt Lake City, 84103
143,603 sq ft,"$235,000",1 bed,1 bath,1555 E 3900 S #204, Millcreek, 84124
144,"2,065 sq ft","$729,900",4 beds,2 baths,2496 E Wilmington Ave S, Millcreek, 84109
145,"1,665 sq ft","$675,000",5 beds,2 baths,1130 E 500 S, Salt Lake City, 84102
146,"3,062 sq ft","$799,900",5 beds,4 baths,333 S Douglas St, Salt Lake City, 84102
147,"2,207 sq ft","$675,000",3 beds,2.5 baths,1457 W Van Buren Ave, Salt Lake City, 84104
148,"3,908 sq ft","$1,295,000",4 beds,3.5 baths,1946 E Orchard Dr, Salt Lake City, 84106
149,"1,600 sq ft","$550,000",1 bed,1 bath,900 S Donner Way #203, Salt Lake City, 84108
150,"3,758 sq ft","$1,600,000",5 beds,3.5 baths,3731 S Delia Cir, Salt Lake City, 84109
151,"1,006 sq ft","$325,000",3 beds,1.5 baths,4695 5175 S, Kearns, 84118
152,"1,054 sq ft","$425,000",3 beds,2 baths,537 S 900 E Unit C3, Salt Lake City, 84102
153,858 sq ft,"$350,000",2 beds,1 bath,338 S 1000 W, Salt Lake City, 84104
154,"1,351 sq ft","$500,000",3 beds,2 baths,1414 W 600 S, Salt Lake City, 84104
155,611 sq ft,"$229,900",1 bed,1 bath,424 N Center St #101, Salt Lake City, 84103
156,"1,609 sq ft","$469,900",3 beds,3.5 baths,815 W 100 S #5, Salt Lake City, 84104
157,"9,295 sq ft","$10,000,000",5 beds,5.5 baths,2438 S Cannon Point Dr, Salt Lake City, 84109
158,"1,444 sq ft","$395,000",4 beds,2 baths,4576 W 5215 S, Kearns, 84118
159,"1,957 sq ft","$589,000",4 beds,2 baths,1131 W Simondi Ave N, Salt Lake City, 84116
160,802 sq ft,"$519,900",2 beds,1 bath,964 E 300 S, Salt Lake City, 84102
161,"4,104 sq ft","$875,000",5 beds,4.5 baths,667 E Kings Ln S, Salt Lake City, 84106
162,"2,525 sq ft","$689,900",6 beds,4 baths,473 E Doreen St S, Salt Lake City, 84107
163,"1,300 sq ft","$624,900",2 beds,2 baths,875 S Donner Way #804, Salt Lake City, 84108
164,"1,610 sq ft","$449,900",4 beds,2 baths,419 E Warnock Ave, South Salt Lake, 84115
165,"2,310 sq ft","$625,000",4 beds,2 baths,4189 S Ewell Dr E, Millcreek, 84107
166,"2,086 sq ft","$1,350,000",2 beds,2.5 baths,268 S State St E #415, Salt Lake City, 84111
167,"2,828 sq ft","$798,000",4 beds,3 baths,1070 S 900 E, Salt Lake City, 84105
168,"2,667 sq ft","$1,000,000",3 beds,3 baths,1196 S Liberty Wells Pl, Salt Lake City, 84111
169,"1,976 sq ft","$415,000",4 beds,2 baths,4077 W 5050 S, Kearns, 84118
170,"1,794 sq ft","$799,000",4 beds,2 baths,1969 E Blaine Ave S, Salt Lake City, 84108
171,"1,100 sq ft","$295,000",3 beds,2 baths,223 E Hill Ave S #1, Millcreek, 84107
172,"3,076 sq ft","$769,900",5 beds,3 baths,3685 S Kimbary Way, Millcreek, 84109
173,"1,612 sq ft","$430,000",4 beds,2 baths,4901 W 4985 S, Salt Lake City, 84118
174,"1,871 sq ft","$649,900",3 beds,2 baths,717 E Logan Ave, Salt Lake City, 84105
175,"3,110 sq ft","$1,595,000",7 beds,8 baths,936 E 1700 S, Salt Lake City, 84105
176,"1,801 sq ft","$456,950",3 beds,2.5 baths,4677 W Miramonte Way #84, Kearns, 84118
